,Expression,Methylation,Mutations
Factor1,2.351182330839241,14.503953302882067,39.21500280055463
Factor2,22.266646286247926,6.5973111197709216,0.04566502568779107
Factor3,12.86141296886213,0.026702982358306482,0.026575746359913666
Factor4,8.995245906299576,1.8226851150385803,0.010177889388174322
Factor5,1.3226106911683466,8.78373132930772,0.0313387296601908
Factor6,4.574065439209873,5.044767888961155,0.011092492043296431
Factor7,6.63022346215193,2.5891529555679083,0.05852985471817007
Factor8,6.192281438347836,1.0558521490185213,0.022451517185873016
Factor9,3.8061537460290062,0.008178578768625044,0.02842640047827638
