method,c_index_mean,c_index_std
Expression,0.6900708834451457,0.0168322022842086
Methylation,0.7260436773933054,0.026010886001676625
Mutations,0.6019927338575195,0.029438386595999545
Early Fusion,0.6107692649301029,0.03511751467065913
MOFA+,0.6881605947174544,0.03416307515653042
Late Fusion,0.7301708747768426,0.0
