,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
TCGA-06-1804,-0.5772778544552116,-1.3608791011332064,0.8428899905485244,0.8460954209599737,-0.2202024558276985,0.9387932659354782,2.040048641339727,-0.1800145741935544,-1.3397425628016
TCGA-06-5408,-0.3820589885464904,-0.05541380799846843,-0.3364239076589872,-0.24892386804516278,-0.26477250786169926,-0.8607827059032678,-0.2395603321445692,0.482462076131982,-0.1427446767821339
TCGA-06-5410,-0.3977050613701302,1.7754392678891646,1.0231534645759388,1.0478792758916617,-0.06708855983568189,2.066889264486164,-0.15366003963628058,-0.05982023266935817,0.3576453320148361
TCGA-06-5412,-0.2507635742939633,1.5297096805375332,1.0309452628216502,0.8058231694629714,-0.0797971726633356,1.623495442707184,0.2625588335446996,-0.16516663047892519,0.4710011799178741
TCGA-06-5414,-0.2857409798016433,0.8076621056037523,-1.6134091839153146,0.44675299092271,-0.21345444054925156,-0.5355561033271333,0.39578230359421396,0.6694099718865444,-0.25036835255457274
TCGA-06-5415,-0.33303693075337504,-0.36974420362852944,1.4203801911696738,0.10931712965426917,-0.15313152923909204,-0.7886261328898082,-0.006194965650435834,0.5445345058832962,0.5319639486937913
TCGA-06-5417,4.356893586118696,-1.6264690094808774,-1.3104002875410248,-0.18302676494269415,-0.14066734033832268,-0.35498235702467884,0.5149618167363185,-0.5349489740260523,0.9237557547978623
TCGA-06-5418,-0.320943066707402,0.9015181319206156,-0.6390497394593428,0.5732278656533784,-0.17983856146014135,-0.9232429545817585,0.4020451794752291,0.5419451561682209,0.347723544322492
TCGA-06-5856,-0.19585851930667886,-0.10040066886658326,0.06943753800834275,-0.8426170864009715,-0.2504048181096858,-0.3810690379635886,0.0463950638864403,0.15315708479855625,0.07609159977280322
TCGA-06-5858,-0.24820439507774325,0.24910555280967944,-1.253305281409638,-0.9957852211550307,-0.3031665098427409,0.2583527366228334,0.7858762590612574,-0.03426895866515173,-1.7093790758767005
TCGA-12-5299,-0.3551688374594015,0.7491803371721459,0.7062825924153163,-0.06703878838061846,-0.1690787494627731,-1.5590692301252427,-0.31843953993697216,0.7796645482585705,0.6962397560956699
TCGA-14-0781,-0.3576485468062452,1.8907270172555366,-0.7527036339953393,1.0667341210787713,-0.03566999525541133,0.9356447204714013,-0.34812815297482386,0.454425912600452,-0.2300302374910414
TCGA-15-1444,2.791416198139964,-0.984681915107746,-0.635552865925369,0.5206270640604853,-0.04412610779346723,0.9541607902673094,-0.5875320326644312,0.012401783631472289,-0.05907465707558561
TCGA-19-5960,-0.15868129976856712,-2.1132666277690237,1.149880032582003,-0.45805992870876244,-0.19978941471193537,-0.5236027891385966,0.8440057871152219,0.07411839831097268,-0.5441431706205825
TCGA-26-1442,2.1172836777481203,-1.5818076012878102,1.5097674988439047,4.761622308656431,-0.16706874219918144,0.4751222689243442,-0.3609394516463883,-0.4293650875503518,-0.49341333796345305
